IssuerName,SecurityId
Balkrishna Industries Ltd.,BALKRISIND.NS
Orient Paper & Industries Ltd.,ORIENTPPR.NS
Citadel Realty And Developers Limited,CITADEL.NS
Rollatainters Ltd.,ROLLT.NS
Seshasayee Paper & Boards Ltd.,SESHAPAPER.NS
NATH INDUSTRIES LIMITED,NATHIND.NS
VAPI ENTERPRISE LIMITED,VAPIENTER.NS
DCM Ltd.,DCM.NS
Gaekwar Mills Ltd.,ZGAEKWAR.NS
Forbes & Company Ltd,FORBESCO.NS
H.P. Cotton Textile Mills Ltd.,HPCOTTON.NS
United Interactive Limited,UNITEDINT.NS
JAMSHRI REALTY LIMITED,JAMSHRI.NS
Katare Spinning Mills Ltd.,KATRSPG.NS
Kesoram Industries Ltd,KESORAMIND.NS
Lakshmi Mills Company ltd,LAKSHMIMIL.NS
Vardhman Textiles Limted,VTL.NS
Peninsula Land Limited,PENINLAND.NS
Pasupati Spg. & Wvg. Mills Ltd.,PASUSPG.NS
The Phoenix Mills Ltd.,PHOENIXLTD.NS
Marathon Nextgen Realty Ltd,MARATHON.NS
Raja Bahadur International Ltd,RAJABAH.NS
Reliance Chemotex Industries Ltd.,RELCHEMQ.NS
Ruby Mills Ltd.,RUBYMILLS.NS
Simplex Realty Limited,SIMPLXREA.NS
Swan Energy Ltd.,SWANENERGY.NS
Victoria Mills Ltd.,VICTMILL.NS
S.V. Trading & Agencies Ltd.,ZSVTRADI.NS
Svaraj Trading & Agencies Ltd.,ZSVARAJT.NS
Kshitij Investments Ltd,KSHITIJ.NS
Shree Salasar Investment Ltd.,SALSAIN.NS
Indsoya Limited,INDSOYA.NS
Zodiac Ventures Limited,ZODIACVEN.NS
Veer Energy & Infrastructure Limited,VEERENRGY.NS
Tilak Ventures Limited,TILAK.NS
Unijolly Investments Co. Ltd.,UNIJOLL.NS
Wagend Infra Venture Limited,WAGEND.NS
Elcid Investments Ltd.,ELCIDIN.NS
Mediaone Global Entertainment Limited,MEDIAONE.NS
Healthy Investments Ltd.,HEALINV.NS
Shreenath Investments Co. Ltd.,SHRENTI.NS
Banswara Syntex Ltd.,BANSWRAS.NS
Modella Woollens Ltd.,MODWOOL.NS
Modipon Ltd.,MODIPON.NS
Shri Dinesh Mills Ltd.,SHRIDINE.NS
SRF Ltd.,SRF.NS
Siyaram Silk Mills Ltd.,SIYSIL.NS
Swadeshi Polytex Ltd.,SWADPOL.NS
Shree Rajasthan Syntex Ltd.,SHRAJSYNQ.NS
Shree Manufacturing Co. Ltd.,SHRMFGC.NS
Satyam Silk Mills Ltd,ZSATYASL.NS
Bharat Bijlee Ltd.,BBL.NS
Elpro International Ltd.,ELPROINTL.NS
GEE Ltd.,GEE.NS
Hind Rectifiers Ltd.,HIRECT.NS
Indo National Limited,NIPPOBATRY.NS
Zensar Technologies Ltd.,ZENSARTECH.NS
Jyoti Ltd.,JYOTI.NS
JSL Industries Ltd.,JSLINDL.NS
Kaycee Industries Ltd.,KAYCEEI.NS
Indokem Ltd,INDOKEM.NS
Panasonic Energy India Co. Ltd.,PANAENERG.NS
Nelco Ltd,NELCO.NS
Permanent Magnets Ltd.,PERMAGN.NS
High Energy Batteries (India) Ltd.,HIGHENE.NS
Standard Batteries Ltd.,STDBAT.NS
Universal Cables Ltd.,UNIVCABLES.NS
W.S. Industries (India) Ltd.,WSI.NS
Delton Cables Ltd.,DLTNCBL.NS
Lakshmi Electrical Control Systems,LAKSELEC.NS
MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,MODULEX.NS
DELTA MANUFACTURING LIMITED,DELTAMAGNT.NS
Longspur International Ventures Limited,LONGSPUR.NS
RAVINDRA ENERGY LIMITED,RELTD.NS
RRP SEMICONDUCTOR LIMITED,RRP.NS
Empower India Limited,EMPOWER.NS
Multipurpose Trading & Agencies Ltd,ZMULTIPU.NS
Ridhi Synthetics Ltd.,RIDHISYN.NS
Grandma Trading & Agencies Ltd.,GRANDMA.NS
Ardi Investment & Trading Ltd.,ZARDIINV.NS
Softbpo Global Services Ltd.,SOFTBPO.NS
Nyssa Corporation Limited,NYSSACORP.NS
FLOMIC GLOBAL LOGISTICS LIMITED,FLOMIC.NS
Krishna Ventures Limited,KRISHNA.NS
Uni-Abex Alloy Products Ltd.,UNIABEXAL.NS
Sarda Energy & Minerals Ltd,SARDAEN.NS
Bhagwati Autocast Limited,BGWTATO.NS
Bombay Wire Ropes Ltd.,BOMBWIR.NS
AZAD INDIA MOBILITY LIMITED,AZADIND.NS
Indian Hume Pipe Co. Ltd.,INDIANHUME.NS
Indian Link Chain Mnfrs. Ltd.,INLCM.NS
Investment & Precision Castings Ltd,INVPRECQ.NS
Informed Technologies India Ltd.,INFORTEC.NS
Kaira Can Co. Ltd.,KAIRA.NS
ORIENT CERATECH LIMITED,ORIENTCER.NS
National Standard (India) Limited,NATIONSTD.NS
Rathi Steel & Power Ltd,RATHIST.NS
Duncan Engineering Limited,DUNCANENG.NS
Sandur Manganese & Iron Ores Ltd.,SANDUMA.NS
Stovec Industries Ltd.,STOVACQ.NS
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG.NS
Welcast Steels Ltd.,ZWELCAST.NS
Western Ministil Ltd.,WMINIMT.NS
Automotive Axles Ltd.,AUTOAXLES.NS
Atlas Cycles (Haryana) Ltd.,ATLASCYCLE.NS
Automobile Products of India Ltd.,AUTOPRD.NS
Automobile Corpn. of Goa Ltd.,ACGL.NS
Setco Automotive Limited,SETCO.NS
Talbros Automotive Components Ltd.,TALBROAUTO.NS
Z.F. Steering Gear (India) Limited,ZFSTEERING.NS
SML ISUZU LIMITED,SMLISUZU.NS
TIL Ltd.,TIL.NS
Eicher Motors Ltd.,EICHERMOT.NS
JAINEX AAMCOL LTD.,JAINEX.NS
Alfred Herbert (India) Ltd.,ALFREDHE.NS
Veljan Denison Limited,VELJAN.NS
Dynamatic Technologies Ltd.,DYNAMATECH.NS
G. G. Dandekar Properties Limited,GGDPROP.NS
GMM Pfaudler Ltd.,GMMPFAUDLR.NS
Kirloskar Pneumatic Co.Ltd.,KIRLPNU.NS
Tulive Developers Limited,TULIVE.NS
KPT INDUSTRIES LIMITED,KPT.NS
LAKSHMI ENGINEERING AND WAREHOUSING LIMITED,LAKSHMIEW.NS
Manugraph India Ltd,MANUGRAPH.NS
HARSHIL AGROTECH LIMITED,HARSHILAGR.NS
Monotype India Ltd.,MONOT.NS
Nesco Ltd,NESCO.NS
